,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Transmission
1,ritz,2014,3.35,5.59,27000,Petrol,Manual
2,sx4,2013,4.75,9.54,43000,Diesel,Manual
3,ciaz,2017,7.25,9.85,6900,Petrol,Manual
4,wagon r,2011,2.85,4.15,5200,Petrol,Manual
5,swift,2014,4.6,6.87,42450,Diesel,Manual
6,vitara brezza,2018,9.25,9.83,2071,Diesel,Manual
7,ciaz,2015,6.75,8.12,18796,Petrol,Manual
8,s cross,2015,6.5,8.61,33429,Diesel,Manual
9,ciaz,2016,8.75,8.89,20273,Diesel,Manual
10,ciaz,2015,7.45,8.92,42367,Diesel,Manual
11,alto 800,2017,2.85,3.6,2135,Petrol,Manual
12,ciaz,2015,6.85,10.38,51000,Diesel,Manual
13,ciaz,2015,7.5,9.94,15000,Petrol,Automatic
14,ertiga,2015,6.1,7.71,26000,Petrol,Manual
15,dzire,2009,2.25,7.21,77427,Petrol,Manual
16,ertiga,2016,7.75,10.79,43000,Diesel,Manual
17,ertiga,2015,7.25,10.79,41678,Diesel,Manual
18,ertiga,2016,7.75,10.79,43000,Diesel,Manual
19,wagon r,2015,3.25,5.09,35500,CNG,Manual
20,sx4,2010,2.65,7.98,41442,Petrol,Manual
21,alto k10,2016,2.85,3.95,25000,Petrol,Manual
22,ignis,2017,4.9,5.71,2400,Petrol,Manual
23,sx4,2011,4.4,8.01,50000,Petrol,Automatic
24,alto k10,2014,2.5,3.46,45280,Petrol,Manual
25,wagon r,2013,2.9,4.41,56879,Petrol,Manual
26,swift,2011,3,4.99,20000,Petrol,Manual
27,swift,2013,4.15,5.87,55138,Petrol,Manual
28,swift,2017,6,6.49,16200,Petrol,Manual
29,alto k10,2010,1.95,3.95,44542,Petrol,Manual
30,ciaz,2015,7.45,10.38,45000,Diesel,Manual
31,ritz,2012,3.1,5.98,51439,Diesel,Manual
32,ritz,2011,2.35,4.89,54200,Petrol,Manual
33,swift,2014,4.95,7.49,39000,Diesel,Manual
34,ertiga,2014,6,9.95,45000,Diesel,Manual
35,dzire,2014,5.5,8.06,45000,Diesel,Manual
36,sx4,2011,2.95,7.74,49998,CNG,Manual
37,dzire,2015,4.65,7.2,48767,Petrol,Manual
38,800,2003,0.35,2.28,127000,Petrol,Manual
39,alto k10,2016,3,3.76,10079,Petrol,Manual
40,sx4,2003,2.25,7.98,62000,Petrol,Manual
41,baleno,2016,5.85,7.87,24524,Petrol,Automatic
42,alto k10,2014,2.55,3.98,46706,Petrol,Manual
43,sx4,2008,1.95,7.15,58000,Petrol,Manual
44,dzire,2014,5.5,8.06,45780,Diesel,Manual
45,omni,2012,1.25,2.69,50000,Petrol,Manual
46,ciaz,2014,7.5,12.04,15000,Petrol,Automatic
47,ritz,2013,2.65,4.89,64532,Petrol,Manual
48,wagon r,2006,1.05,4.15,65000,Petrol,Manual
49,ertiga,2015,5.8,7.71,25870,Petrol,Manual
50,ciaz,2017,7.75,9.29,37000,Petrol,Automatic
